"set","name","position","poise","weight","physical","magic","fire","lightning","bleed","poison","curse","url1","location"
"Giant Set","Giant Leggings",4,21,9.7,41,19,29,19,19,11,0,"http://darksoulswiki.wikispaces.com/Giant+Armor+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Havel Set","Havel's Helm",1,18,7.5,36,22,22,18,18,4,9,"http://darksoulswiki.wikispaces.com/Havel%27s+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Havel Set","Havel's Armor",2,47,19.5,92,56,54,49,45,11,22,"http://darksoulswiki.wikispaces.com/Havel%27s+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Havel Set","Havel's Gauntlets",3,28,11.5,54,32,32,29,27,5,13,"http://darksoulswiki.wikispaces.com/Havel%27s+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Havel Set","Havel's Leggings",4,28,11.5,54,32,32,29,27,5,13,"http://darksoulswiki.wikispaces.com/Havel%27s+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Heavy Cleric Set","Cleric Helm",1,8,4.8,15,9,8,6,9,6,0,"http://darksoulswiki.wikispaces.com/Heavy+Cleric+Set","http://darksoulswiki.wikispaces.com/Tomb+of+Giants"
"Heavy Cleric Set","Cleric Armor",2,20,12.5,40,23,21,15,23,16,0,"http://darksoulswiki.wikispaces.com/Heavy+Cleric+Set","http://darksoulswiki.wikispaces.com/Tomb+of+Giants"
"Heavy Cleric Set","Cleric Gauntlets",3,12,7.4,24,13,12,9,14,9,0,"http://darksoulswiki.wikispaces.com/Heavy+Cleric+Set","http://darksoulswiki.wikispaces.com/Tomb+of+Giants"
"Heavy Cleric Set","Cleric Leggings",4,12,7.4,24,13,12,9,25,9,0,"http://darksoulswiki.wikispaces.com/Heavy+Cleric+Set","http://darksoulswiki.wikispaces.com/Tomb+of+Giants"
"Set of the Channelers","Six-Eyed Helm of the Channelers",1,5,3.9,20,18,17,13,15,13,0,"http://darksoulswiki.wikispaces.com/Channeler+Set","http://darksoulswiki.wikispaces.com/The+Duke%27s+Archives"
"Set of the Channelers","Robe of the Channelers",2,12,10.1,53,45,45,35,38,33,0,"http://darksoulswiki.wikispaces.com/Channeler+Set","http://darksoulswiki.wikispaces.com/The+Duke%27s+Archives"
"Set of the Channelers","Gauntlets of the Channelers",3,3,3,17,13,13,10,0,0,0,"http://darksoulswiki.wikispaces.com/Channeler+Set","http://darksoulswiki.wikispaces.com/The+Duke%27s+Archives"
"Set of the Channelers","Waistcloth of the Channelers",4,7,6,32,27,27,20,23,20,0,"http://darksoulswiki.wikispaces.com/Channeler+Set","http://darksoulswiki.wikispaces.com/The+Duke%27s+Archives"
"Silver Knight Set","Silver Knight Helm",1,8,4.8,17,10,11,10,9,5,1,"http://darksoulswiki.wikispaces.com/Silver+Knight+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Silver Knight Set","Silver Knight Armor",2,19,12,42,26,29,25,24,12,2,"http://darksoulswiki.wikispaces.com/Silver+Knight+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Silver Knight Set","Silver Knight Gauntlets",3,9,5.5,19,12,14,11,11,6,1,"http://darksoulswiki.wikispaces.com/Silver+Knight+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Silver Knight Set","Silver Knight Leggings",4,11,6.5,23,15,16,14,14,7,1,"http://darksoulswiki.wikispaces.com/Silver+Knight+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Steel Set","Steel Helm",1,9,5.4,16,8,8,5,9,6,0,"http://darksoulswiki.wikispaces.com/Steel+Set","http://darksoulswiki.wikispaces.com/Sen%27s+Fortress"
"Steel Set","Steel Armor",2,23,14,42,22,21,13,23,16,0,"http://darksoulswiki.wikispaces.com/Steel+Set","http://darksoulswiki.wikispaces.com/Sen%27s+Fortress"
"Steel Set","Steel Gauntlets",3,14,8.3,25,13,12,8,14,9,0,"http://darksoulswiki.wikispaces.com/Steel+Set","http://darksoulswiki.wikispaces.com/Sen%27s+Fortress"
"Steel Set","Steel Leggings",4,14,8.3,25,13,12,8,14,9,0,"http://darksoulswiki.wikispaces.com/Steel+Set","http://darksoulswiki.wikispaces.com/Sen%27s+Fortress"
"Stone Set","Stone Helm",1,15,6.8,35,17,21,21,17,6,0,"http://darksoulswiki.wikispaces.com/Stone+Knight+Set","http://darksoulswiki.wikispaces.com/Darkroot+Garden"
"Stone Set","Stone Armor",2,39,17.6,91,45,54,54,45,16,0,"http://darksoulswiki.wikispaces.com/Stone+Knight+Set","http://darksoulswiki.wikispaces.com/Darkroot+Garden"
"Stone Set","Stone Gauntlets",3,23,10.4,54,27,33,33,27,10,0,"http://darksoulswiki.wikispaces.com/Stone+Knight+Set","http://darksoulswiki.wikispaces.com/Darkroot+Garden"
"Stone Set","Stone Leggings",4,23,10.4,54,24,33,33,27,10,0,"http://darksoulswiki.wikispaces.com/Stone+Knight+Set","http://darksoulswiki.wikispaces.com/Darkroot+Garden"
"Golem Set","Golem Helm",1,13,6.3,35,17,16,6,17,12,0,"http://darksoulswiki.wikispaces.com/Iron+Golem+Set","http://darksoulswiki.wikispaces.com/Sen%27s+Fortress"
"Golem Set","Golem Armor",2,33,16.4,91,45,41,17,45,31,0,"http://darksoulswiki.wikispaces.com/Iron+Golem+Set","http://darksoulswiki.wikispaces.com/Sen%27s+Fortress"
"Golem Set","Golem Gauntlets",3,20,9.7,54,25,23,10,27,17,0,"http://darksoulswiki.wikispaces.com/Iron+Golem+Set","http://darksoulswiki.wikispaces.com/Sen%27s+Fortress"
"Golem Set","Golem Leggings",4,20,9.7,54,25,23,10,27,17,0,"http://darksoulswiki.wikispaces.com/Iron+Golem+Set","http://darksoulswiki.wikispaces.com/Sen%27s+Fortress"
"Iron and Sun Set","Iron Helm",1,8,4.5,14,10,10,9,12,8,2,"http://darksoulswiki.wikispaces.com/Armor#Unique%20Armor%20Pieces-Solaire%20Sun%20Armor%20Set",
"Iron and Sun Set","Armor of the Sun",2,16,9,35,21,21,19,23,16,10,"http://darksoulswiki.wikispaces.com/Armor#Unique%20Armor%20Pieces-Solaire%20Sun%20Armor%20Set",
"Iron and Sun Set","Iron Bracelet",3,7,4.3,17,10,10,9,11,7,2,"http://darksoulswiki.wikispaces.com/Armor#Unique%20Armor%20Pieces-Solaire%20Sun%20Armor%20Set",
"Iron and Sun Set","Iron Leggings",4,9,5.3,21,12,12,11,14,9,2,"http://darksoulswiki.wikispaces.com/Armor#Unique%20Armor%20Pieces-Solaire%20Sun%20Armor%20Set",
"Ornstein's Set","Ornstein's Helm",1,9,5.5,32,16,22,18,18,8,8,"http://darksoulswiki.wikispaces.com/Ornstein%27s+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Ornstein's Set","Ornstein's Armor",2,19,12,70,36,46,40,38,18,18,"http://darksoulswiki.wikispaces.com/Ornstein%27s+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Ornstein's Set","Ornstein's Gauntlets",3,6,4,24,12,16,14,12,6,6,"http://darksoulswiki.wikispaces.com/Ornstein%27s+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Ornstein's Set","Ornstein's Leggings",4,11,7,40,20,28,24,22,12,12,"http://darksoulswiki.wikispaces.com/Ornstein%27s+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Paladin Set","Paladin Helm",1,8,5,22,12,13,7,13,9,22,"http://darksoulswiki.wikispaces.com/Paladin+Set","http://darksoulswiki.wikispaces.com/Tomb+of+Giants"
"Paladin Set","Paladin Armor",2,20,12.9,59,31,37,19,34,24,57,"http://darksoulswiki.wikispaces.com/Paladin+Set","http://darksoulswiki.wikispaces.com/Tomb+of+Giants"
"Paladin Set","Paladin Gauntlets",3,12,7.6,35,19,21,12,21,13,34,"http://darksoulswiki.wikispaces.com/Paladin+Set","http://darksoulswiki.wikispaces.com/Tomb+of+Giants"
"Paladin Set","Paladin Leggings",4,12,7.6,35,19,21,12,21,13,34,"http://darksoulswiki.wikispaces.com/Paladin+Set","http://darksoulswiki.wikispaces.com/Tomb+of+Giants"
"Set of Favor","Helm of Favor",1,8,4.5,18,10,11,7,11,8,8,"http://darksoulswiki.wikispaces.com/Favor+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Set of Favor","Embraced Armor of Favor",2,20,11.7,48,23,30,19,28,22,22,"http://darksoulswiki.wikispaces.com/Favor+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Set of Favor","Gauntlets of Favor",3,8,5,21,10,12,8,11,10,10,"http://darksoulswiki.wikispaces.com/Favor+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Set of Favor","Leggings of Favor",4,11,6.9,28,14,18,11,15,14,14,"http://darksoulswiki.wikispaces.com/Favor+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Set of Thorns","Helm of Thorns",1,6,4.1,17,10,12,8,10,7,0,"http://darksoulswiki.wikispaces.com/Thorns+Set","http://darksoulswiki.wikispaces.com/Lost+Izalith"
"Set of Thorns","Armor of Thorns",2,16,10.5,45,28,33,20,0,0,0,"http://darksoulswiki.wikispaces.com/Thorns+Set","http://darksoulswiki.wikispaces.com/Lost+Izalith"
"Set of Thorns","Gauntlets of Thorns",3,9,6.2,26,16,18,12,16,17,10,"http://darksoulswiki.wikispaces.com/Thorns+Set","http://darksoulswiki.wikispaces.com/Lost+Izalith"
"Set of Thorns","Leggings of Thorns",4,9,6.2,26,16,18,12,16,17,10,"http://darksoulswiki.wikispaces.com/Thorns+Set","http://darksoulswiki.wikispaces.com/Lost+Izalith"
"Smough's Set","Smough's Helm",1,14,6.8,40,19,26,21,21,12,5,"http://darksoulswiki.wikispaces.com/Smough%27s+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Smough's Set","Smough's Armor",2,35,17.5,106,52,66,59,54,28,9,"http://darksoulswiki.wikispaces.com/Smough%27s+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Smough's Set","Smough's Gauntlets",3,21,10.4,61,31,40,33,33,16,5,"http://darksoulswiki.wikispaces.com/Smough%27s+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Smough's Set","Smough's Leggings",4,21,10.4,61,31,40,33,33,16,5,"http://darksoulswiki.wikispaces.com/Smough%27s+Set","http://darksoulswiki.wikispaces.com/Anor+Londo"
"Dark Set","Dark Mask",1,6,3.8,18,12,12,10,12,8,0,"http://darksoulswiki.wikispaces.com/Dark+Set","http://darksoulswiki.wikispaces.com/New+Londo+Ruins"
"Dark Set","Dark Armor",2,16,9.8,45,30,31,27,30,21,0,"http://darksoulswiki.wikispaces.com/Dark+Set","http://darksoulswiki.wikispaces.com/New+Londo+Ruins"
"Dark Set","Dark Gauntlets",3,9,5.8,27,18,18,15,18,12,0,"http://darksoulswiki.wikispaces.com/Dark+Set","http://darksoulswiki.wikispaces.com/New+Londo+Ruins"
"Dark Set","Dark Leggings",4,9,5.8,27,18,18,15,18,12,0,"http://darksoulswiki.wikispaces.com/Dark+Set","http://darksoulswiki.wikispaces.com/New+Londo+Ruins"
"Xanthous Set","Xanthous Crown",1,0,5,18,15,3,8,8,11,35,"http://darksoulswiki.wikispaces.com/Xanthous+Set","http://darksoulswiki.wikispaces.com/Painted+World+of+Ariamis"
"Xanthous Set","Xanthous Overcoat",2,0,3.9,32,37,7,23,22,29,0,"http://darksoulswiki.wikispaces.com/Xanthous+Set","http://darksoulswiki.wikispaces.com/Painted+World+of+Ariamis"
"Xanthous Set","Xanthous Gloves",3,0,2.3,18,22,4,14,12,18,0,"http://darksoulswiki.wikispaces.com/Xanthous+Set","http://darksoulswiki.wikispaces.com/Painted+World+of+Ariamis"
"Xanthous Set","Xanthous Waistcloth",4,0,4,32,39,7,23,22,33,0,"http://darksoulswiki.wikispaces.com/Xanthous+Set","http://darksoulswiki.wikispaces.com/Painted+World+of+Ariamis"
,"Mask of the Father",1,0,1.2,6,10,6,8,6,0,0,"http://darksoulswiki.wikispaces.com/Mask+of+the+Father","http://darksoulswiki.wikispaces.com/The+Catacombs"
,"Mask of the Mother",1,0,1.2,6,12,6,8,10,0,0,"http://darksoulswiki.wikispaces.com/Mask+of+the+Mother","http://darksoulswiki.wikispaces.com/The+Catacombs"
,"Mask of the Child",1,0,1.2,6,10,8,10,6,0,0,"http://darksoulswiki.wikispaces.com/Mask+of+the+Child","http://darksoulswiki.wikispaces.com/The+Catacombs"
,"Fang Boar Helm",1,12,8,26,5,4,4,13,8,0,"http://darksoulswiki.wikispaces.com/Fang+Boar+Helm","http://darksoulswiki.wikispaces.com/Undead+Parish"
,"Gargoyle Helm",1,8,3.5,15,15,15,15,22,19,0,"http://darksoulswiki.wikispaces.com/Gargoyle+Helm","http://darksoulswiki.wikispaces.com/Anor+Londo"
,"Sunlight Maggot",1,0,1.4,6,5,24,13,0,0,0,"http://darksoulswiki.wikispaces.com/Sunlight+Maggot","http://darksoulswiki.wikispaces.com/Lost+Izalith"
,"Sack",1,0,0.6,6,6,8,4,12,10,0,"http://darksoulswiki.wikispaces.com/Sack","http://darksoulswiki.wikispaces.com/Depths"
,"Royal Helm",1,8,4.5,16,10,10,6,16,12,0,"http://darksoulswiki.wikispaces.com/Royal+Helm","http://darksoulswiki.wikispaces.com/The+Catacombs"
,"Symbol of Avarice",1,15,10,21,8,2,2,10,0,0,"http://darksoulswiki.wikispaces.com/Symbol+of+Avarice","http://darksoulswiki.wikispaces.com/The+Duke%27s+Archives"
