"set","position","name","bleed","curse","fire","lightning","magic","physical","poise","poison","weight","weight_modifier","health_modifier","stamina_modifier","stamina_regeneration"
"Favor","Legs","Leggings of Favor+5",19.0,18.0,28.0,17.0,22.0,43.0,11.0,18.0,6.9,0.0,0.0,0.0,0.0
"Thorns","Head","Helm of Thorns+5",12.7,0.0,18.6,12.4,15.5,26.4,6.0,8.9,4.1,0.0,0.0,0.0,0.0
"Thorns","Torso","Armor of Thorns+5",33.0,0.0,51.1,31.0,43.4,69.8,16.0,22.9,10.5,0.0,0.0,0.0,0.0
"Thorns","Arms","Gauntlets of Thorns+5",20.3,0.0,27.9,18.6,24.8,40.3,9.0,12.7,6.2,0.0,0.0,0.0,0.0
"Thorns","Legs","Leggings of Thorns+5",20.3,0.0,27.9,18.6,24.8,40.3,9.0,12.7,6.2,0.0,0.0,0.0,0.0
"Smough","Head","Smough's Helm",21.0,5.0,26.0,21.0,19.0,40.0,14.0,12.0,6.8,0.0,0.0,0.0,0.0
"Smough","Torso","Smough's Armor",54.0,9.0,66.0,59.0,52.0,106.0,35.0,28.0,17.6,0.0,0.0,0.0,0.0
"Smough","Arms","Smough's Gauntlets",33.0,5.0,40.0,33.0,31.0,61.0,21.0,16.0,10.4,0.0,0.0,0.0,0.0
"Smough","Legs","Smough's Leggings",33.0,5.0,40.0,33.0,31.0,61.0,21.0,16.0,10.4,0.0,0.0,0.0,0.0
"Dark","Head","Dark Mask+5",15.2,0.0,18.6,15.5,18.6,27.9,6.0,10.2,3.8,0.0,0.0,0.0,0.0
"Dark","Torso","Dark Armor+5",38.1,0.0,48.1,41.9,46.5,69.8,16.0,26.7,9.8,0.0,0.0,0.0,0.0
"Dark","Arms","Dark Gauntlets+5",22.9,0.0,27.9,23.3,27.9,41.9,9.0,15.2,5.8,0.0,0.0,0.0,0.0
"Dark","Legs","Dark Leggings+5",22.9,0.0,27.9,23.3,27.9,41.9,9.0,15.2,5.8,0.0,0.0,0.0,0.0
"Xanthous","Head","Xanthous Crown+5",10.2,44.4,4.6,12.4,23.3,27.9,0.0,14.0,5.0,0.0,0.0,0.0,0.0
"Xanthous","Torso","Xanthous Overcoat+5",27.9,0.0,10.8,35.6,57.4,49.6,0.0,36.8,3.9,0.0,0.0,0.0,0.0
"Xanthous","Arms","Xanthous Gloves+5",15.2,0.0,6.2,21.7,34.1,27.9,0.0,22.9,2.3,0.0,0.0,0.0,0.0
"Xanthous","Legs","Xanthous Waistcloth+5",27.9,0.0,10.8,35.6,60.5,49.6,0.0,38.1,4.0,0.0,0.0,0.0,0.0
"","Head","Mask of the Father",6.0,0.0,6.0,8.0,10.0,6.0,0.0,0.0,1.2,0.05,0.0,0.0,0.0
"","Head","Mask of the Mother",10.0,0.0,6.0,8.0,12.0,6.0,0.0,0.0,1.2,0.0,0.1,0.0,0.0
"","Head","Mask of the Child",6.0,0.0,8.0,10.0,10.0,6.0,0.0,0.0,1.2,0.0,0.0,0.0,10.0
"","Head","Fang Boar Helm+5",16.5,0.0,6.2,6.2,7.8,40.3,12.0,10.2,8.0,0.0,0.0,0.0,0.0
"","Head","Gargoyle Helm+5",27.9,0.0,23.3,23.3,23.3,23.3,8.0,24.1,3.5,0.0,0.0,0.0,0.0
"","Head","Sunlight Maggot",0.0,0.0,24.0,13.0,5.0,6.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
"","Head","Sack+10",16.8,0.0,19.4,9.7,14.5,14.5,0.0,14.0,0.6,0.0,0.0,0.0,0.0
"","Head","Royal Helm+10",22.0,0.0,24.0,15.0,24.0,39.0,8.0,17.0,4.5,0.0,0.0,0.0,0.0
"","Head","Symbol of Avarice",10.0,0.0,2.0,2.0,8.0,21.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0
